AddressBookCheckBirthdayInfoTest,AddressBookSearchByMultipleGroupsTest,AddressBookRemoveAddressBookTest,AddressBookAddMultipleGroupsTest,AddressBookRemoveFromMultipleGroupsTest,AddressBookAddMultipleAddressBookTest,AddressBookAssignToMultipleGroupsTest,AddressBookRemoveMultipleGroupsTest,AddressBookCheckMultipleAddressBookTest,AddressBookAssignToGroupTest,AddressBookEditMultipleGroupsTest,AddressBookRemoveFromGroupTest,AddressBookSearchAddressBookNameTest,AddressBookRemoveMultipleAddressBookTest,AddressBookPrintMultipleAddressBookTest,AddressBookAddGroupTest,AddressBookSearchByGroupTest,AddressBookAddAddressBookTest,AddressBookEditAddressBookTest,AddressBookEditGroupTest,AddressBookSearchAddressBookEmailTest,AddressBookRemoveGroupTest,AddressBookCheckAddressBookTest,AddressBookPrintAddressBookTest,AddressBookCheckMultipleBirthdaysInfoTest,AddressBookEditMultipleAddressBookTest,AddressBookSearchMultipleAddressBookNameTest
0.516,0.97,0.556,2.055,1.673,3.955,1.089,0.755,0.554,0.433,3.18,0.54,0.496,1.127,0.931,0.898,0.548,1.645,0.866,1.036,0.525,0.511,0.391,0.524,0.894,2.309,1.277
0.532,0.918,0.518,2.15,1.732,4.137,1.116,0.759,0.554,0.414,3.19,0.555,0.547,1.147,0.889,0.9,0.569,1.64,0.797,0.943,0.555,0.529,0.431,0.539,0.867,2.356,1.305
0.566,0.96,0.552,1.993,1.87,4.076,1.137,0.958,0.553,0.438,3.331,0.542,0.583,1.542,0.923,0.943,0.523,1.575,0.835,0.947,0.582,0.495,0.416,0.564,0.869,2.354,1.318
0.529,0.956,0.556,2.008,1.727,3.993,1.139,0.787,0.574,0.442,3.107,0.552,0.535,1.176,0.954,0.939,0.512,1.762,0.812,0.944,0.572,0.547,0.414,0.539,0.895,2.417,1.289
0.561,1.016,0.613,2.093,1.705,4.076,1.181,0.764,0.558,0.423,3.143,0.55,0.525,1.149,0.97,0.902,0.517,1.598,0.817,0.954,0.527,0.546,0.432,0.545,0.855,2.354,1.309
0.562,1.002,0.511,2.013,1.966,4.042,1.107,0.763,0.55,0.566,3.176,0.546,0.522,1.105,0.956,0.966,0.57,1.561,0.806,0.947,0.562,0.483,0.479,0.527,0.863,2.421,1.3
0.546,0.911,0.724,1.964,1.696,4.53,1.14,0.738,0.564,0.419,3.051,0.567,0.538,1.08,0.9,0.911,0.508,1.585,0.833,0.949,0.566,0.689,0.388,0.546,0.807,2.215,1.252
0.517,0.956,0.54,2.011,1.628,3.924,1.061,0.732,0.608,0.419,3.074,0.555,0.512,1.048,0.994,0.93,0.534,1.599,0.797,0.942,0.575,0.53,0.396,0.521,0.907,2.285,1.282
0.544,0.961,0.534,1.968,1.69,4.083,1.118,0.733,0.546,0.438,3.137,0.548,0.686,1.237,0.93,0.898,0.523,1.779,0.893,0.917,0.626,0.509,0.408,0.616,0.84,2.346,1.232
0.537,0.946,0.565,2.144,1.679,4.022,1.136,0.753,0.565,0.408,3.147,0.532,0.522,1.105,0.911,0.914,0.534,1.624,0.785,0.977,0.581,0.519,0.425,0.511,0.872,2.431,1.307
0.536,0.95,0.528,2.02,1.732,4.048,1.141,0.776,0.561,0.426,3.33,0.546,0.595,1.135,0.935,0.913,0.535,1.66,0.782,0.9,0.521,0.487,0.404,0.516,0.966,2.347,1.306
