AddDeniedCourseTest,RemoveEnrolMultipleUsersTest,AddCourseExerciseTest,RemoveMultipleUsersTest,AddWrongEmailUserTest,SearchUserTest,LoginUserTest,AddCourseEventTest,AddMultipleUsersTest,ViewProfileStatisticsUserTest,MakeCourseExerciseVisibleTest,AddEmptyUserTest,EnrolDeniedCourseTest,SearchAndRemoveDeniedCourseTest,AddWrongPasswordUserTest,SearchCourseTest,RemoveUserTest,AddTwiceUserTest,RemoveEnrolUserTest,AddEmptyCourseTest,SearchStudentTest,SearchMultipleUsersTest,SearchTeacherTest,RemoveCourseExerciseQuestionsTest,AddPasswordCourseTest,RemoveCourseExerciseTest,SearchAllowedCourseTest,AddCourseTest,AddUserTest,EnrolUserTest,SearchAdminTest,RemoveCourseEventTest,SearchAndRemovePasswordCourseTest,DoCourseExerciseQuestionsTest,EnrolPasswordCourseWrongPasswordUserTest,AddCourseExerciseQuestionsTest,DoCourseExerciseQuestionsMultipleUsersTest,EnrolMultipleUsersTest,EnrolPasswordCourseGoodPasswordUserTest,RemoveCourseTest
1.454,1.281,1.495,1.248,1.443,0.95,0.546,1.882,3.366,1.01,0.945,0.87,0.963,1.244,1.527,0.916,0.97,1.424,0.718,0.944,1.048,1.065,1.043,1.29,1.64,1.02,1.106,1.581,1.523,0.969,1.006,0.973,1.172,1.404,1.146,4.958,4.506,3.636,1.131,0.985
1.484,1.297,1.453,1.302,1.425,0.979,0.52,1.856,3.47,0.943,0.943,0.839,0.986,1.169,1.3,0.908,0.942,1.473,0.784,0.941,1.025,1.063,1.045,1.296,1.839,1.032,1.033,1.545,1.561,0.95,0.995,0.957,1.165,1.267,1.199,4.918,4.594,3.522,1.16,0.976
1.504,1.257,1.42,1.295,1.41,0.947,0.544,1.846,3.402,0.965,0.933,0.875,0.949,1.367,1.313,0.901,0.949,1.484,0.731,0.925,1.025,1.076,1.03,1.266,1.695,1.062,1.154,1.591,1.658,0.936,1.179,0.95,1.418,1.336,1.178,4.818,4.635,3.539,1.225,0.984
1.475,1.243,1.46,1.275,1.392,0.976,0.527,1.795,3.362,0.962,0.921,0.889,0.979,1.286,1.352,1.012,0.937,1.485,0.733,0.912,1.04,1.039,1.018,1.356,1.731,1.009,1.013,1.663,1.558,0.972,0.983,0.95,1.167,1.263,1.157,4.996,4.661,3.72,1.164,0.984
1.483,1.32,1.552,1.259,1.445,0.936,0.524,1.84,3.475,0.935,0.96,0.846,0.935,1.201,1.338,0.894,0.972,1.452,0.834,0.965,1.029,1.022,1.032,1.293,1.655,1.025,1.033,1.594,1.528,0.97,1.031,0.93,1.18,1.282,1.169,4.868,4.627,3.55,1.179,0.981
1.523,1.31,1.484,1.262,1.428,0.938,0.551,1.828,3.39,0.934,0.938,0.961,0.965,1.193,1.37,0.887,0.919,1.496,0.759,0.937,1.053,1.018,1.062,1.25,1.694,1.006,1.038,1.639,1.558,0.961,1.034,0.942,1.205,1.354,1.111,5.224,4.747,3.539,1.143,0.967
1.523,1.266,1.432,1.247,1.377,0.944,0.53,1.856,3.346,0.957,0.919,0.868,0.96,1.199,1.499,0.911,0.939,1.473,0.723,0.96,1.017,1.055,1.037,1.335,1.682,1.036,1.036,1.595,1.566,0.988,1.073,0.979,1.174,1.416,1.133,4.941,4.815,3.788,1.127,0.949
1.612,1.271,1.936,1.273,1.454,0.967,0.546,1.927,3.632,0.922,0.937,0.861,0.956,1.172,1.341,0.897,0.973,1.504,0.738,0.962,1.031,1.042,0.998,1.297,1.762,1.089,1.043,1.599,1.576,0.941,1.062,0.976,1.173,1.268,1.181,5.076,4.638,3.731,1.198,0.943
1.565,1.29,1.449,1.274,1.392,0.989,0.549,1.839,3.352,0.956,1.034,0.871,0.984,1.173,1.318,0.921,0.97,1.476,0.758,0.929,1.142,1.096,1.086,1.313,1.641,1.0,1.115,1.613,1.638,0.949,1.037,0.993,1.18,1.268,1.28,4.925,4.535,3.614,1.236,0.98
1.502,1.254,1.426,1.287,1.425,0.95,0.592,1.853,3.404,0.97,0.932,0.811,0.96,1.173,1.33,0.922,0.942,1.474,0.752,0.875,1.049,1.032,1.036,1.338,1.799,1.047,1.041,1.674,1.591,0.948,0.994,0.976,1.362,1.289,1.141,4.963,4.697,3.75,1.147,1.016
1.543,1.24,1.439,1.297,1.418,0.944,0.54,1.946,3.405,0.973,0.922,0.852,0.938,1.168,1.352,0.928,1.0,1.443,0.752,0.925,1.036,1.064,1.01,1.322,1.697,1.012,1.051,1.662,1.641,1.034,1.023,1.135,1.191,1.373,1.15,5.365,4.752,3.587,1.183,1.041
