PasswordManagerAddMultipleEntriesTest,PasswordManagerSearchEntryByNameTest,PasswordManagerSearchEntryByTagsTest,PasswordManagerSearchEntryByTagListTest,PasswordManagerAddTagTest,PasswordManagerAddEntryTest,PasswordManagerEditTagTest,PasswordManagerRemoveTagTest,PasswordManagerSearchTagsTest,PasswordManagerRemoveEntryTest,PasswordManagerSearchEntryByCommentTest,PasswordManagerSearchEntryByUrlTest,PasswordManagerEditEntryTest,PasswordManagerSearchEntryNegativeTest,PasswordManagerSearchTagNegativeTest,PasswordManagerAssignTagToEntryTest,PasswordManagerRemoveMultipleEntriesTest,PasswordManagerRemoveTagsTest,PasswordManagerCheckUsedTagsTest,PasswordManagerSearchAndRemoveMultipleTagsTest,PasswordManagerSearchMultipleEntriesTest,PasswordManagerSearchEntryByUsernameTest,PasswordManagerCheckEntryTagsRemovedTest
2.437,1.255,2.447,1.193,0.99,2.03,0.983,1.005,1.358,0.865,1.377,1.229,1.725,4.782,1.004,3.182,1.097,1.239,3.619,2.078,4.317,1.287,0.827
2.463,1.304,2.42,1.184,0.982,2.012,1.012,1.047,1.323,0.887,1.255,1.267,1.746,4.388,0.974,3.117,1.118,1.251,3.611,2.172,4.392,1.26,0.771
2.486,1.242,2.4,1.193,0.955,1.973,0.985,1.069,1.396,1.206,1.229,1.264,1.704,4.275,0.976,3.21,1.111,1.295,3.781,2.116,4.347,1.275,0.904
2.536,1.246,2.412,1.17,0.964,1.985,0.984,0.986,1.38,0.891,1.271,1.26,1.668,4.346,0.998,3.166,1.214,1.266,3.645,2.082,4.508,1.258,0.796
2.821,1.242,2.405,1.175,0.988,1.98,1.008,0.982,1.34,0.902,1.208,1.254,1.746,4.432,1.046,3.155,1.094,1.27,3.632,2.087,4.469,1.203,0.804
2.65,1.267,2.491,1.151,1.021,1.955,1.133,1.0,1.314,1.044,1.264,1.423,1.752,4.385,0.987,3.125,1.098,1.301,3.61,2.091,4.232,1.201,0.774
2.634,1.251,2.479,1.183,0.961,1.985,1.066,1.029,1.34,0.92,1.271,1.424,1.756,3.854,1.011,3.238,1.091,1.268,3.648,2.16,4.258,1.314,0.809
2.746,1.294,2.378,1.167,0.95,2.006,0.999,0.954,1.345,0.89,1.24,1.304,1.741,4.373,0.971,3.109,1.075,1.271,3.701,2.093,4.27,1.301,0.79
2.671,1.219,2.314,1.138,0.947,1.969,0.967,0.984,1.35,0.878,1.222,1.261,1.658,4.361,0.979,3.119,1.162,1.29,3.605,2.063,4.297,1.305,0.79
2.544,1.247,2.419,1.174,0.992,1.973,1.007,0.98,1.391,0.896,1.217,1.231,1.682,4.297,1.004,3.187,1.1,1.267,3.607,2.134,4.366,1.417,0.809
2.423,1.39,2.564,1.196,0.954,1.99,1.008,0.951,1.32,0.88,1.246,1.276,1.754,4.315,1.055,3.33,1.061,1.275,3.683,2.127,4.221,1.31,0.806
