Test case,Test result,Exec time,Clone time,Stop time
root,NONE,0.0,23.041,0.0,0.0
AddUserTest,PASSED,21.368,23.131,0.014
AddCourseTest,PASSED,31.093,14.854,0.005
SearchAdminTest,PASSED,28.194,0.0,4.91
AddEmptyUserTest,PASSED,27.711,0.0,3.735
AddWrongEmailUserTest,PASSED,42.376,0.0,0.68
AddWrongPasswordUserTest,PASSED,43.451,0.0,0.354
AddEmptyCourseTest,PASSED,39.199,0.0,0.347
AddPasswordCourseTest,PASSED,47.641,0.0,0.0
AddDeniedCourseTest,PASSED,43.663,0.0,0.0
SearchUserTest,PASSED,44.187,0.0,0.35
LoginUserTest,PASSED,38.837,0.0,0.36
AddCourseTest,PASSED,49.718,0.0,0.0
AddMultipleUsersTest,PASSED,1.0194833333333333,5.649,0.007
AddTwiceUserTest,PASSED,45.643,0.0,0.371
AddDeniedCourseTest,PASSED,43.006,0.0,0.0
AddPasswordCourseTest,PASSED,39.579,1.8,0.002
RemoveUserTest,PASSED,35.132,0.0,0.367
SearchCourseTest,PASSED,40.487,0.0,0.387
SearchAllowedCourseTest,PASSED,40.076,0.0,0.698
AddCourseExerciseTest,PASSED,41.71,3.647,0.006
AddCourseEventTest,PASSED,40.847,0.0,0.0
RemoveCourseTest,PASSED,33.755,0.0,0.356
SearchAndRemovePasswordCourseTest,PASSED,32.356,0.0,0.349
SearchAndRemoveDeniedCourseTest,PASSED,32.414,0.0,1.02
EnrolUserTest,PASSED,26.149,3.682,0.004
SearchMultipleUsersTest,PASSED,32.05,0.0,0.346
SearchStudentTest,PASSED,30.468,0.0,0.433
SearchTeacherTest,PASSED,29.302,0.0,0.39
RemoveMultipleUsersTest,PASSED,30.66,0.0,0.386
EnrolDeniedCourseTest,PASSED,31.852,0.0,0.425
EnrolPasswordCourseWrongPasswordUserTest,PASSED,33.889,0.0,0.382
EnrolPasswordCourseGoodPasswordUserTest,PASSED,34.532,0.0,0.381
AddCourseExerciseQuestionsTest,PASSED,46.958,0.0,0.0
RemoveCourseExerciseTest,PASSED,34.209,0.0,0.368
RemoveCourseEventTest,PASSED,31.709,0.0,0.404
AddCourseExerciseTest,PASSED,26.072,0.0,0.0
AddMultipleUsersTest,PASSED,27.542,0.0,0.0
RemoveEnrolUserTest,PASSED,22.176,0.0,0.372
RemoveCourseExerciseQuestionsTest,PASSED,7.492,0.0,0.317
MakeCourseExerciseVisibleTest,PASSED,5.996,0.0,0.0
EnrolMultipleUsersTest,FAILED,12.456,0.0,0.0
AddCourseExerciseQuestionsTest,PASSED,10.827,1.476,0.003
RemoveEnrolMultipleUsersTest,FAILED,4.649,0.0,0.345
DoCourseExerciseQuestionsTest,PASSED,7.195,0.0,0.0
AddMultipleUsersTest,PASSED,9.231,0.0,0.0
ViewProfileStatisticsUserTest,PASSED,4.813,0.0,0.339
EnrolMultipleUsersTest,FAILED,9.989,0.0,0.0
DoCourseExerciseQuestionsMultipleUsersTest,FAILED,9.408,0.0,0.319
